Rank,Word,Translate,,
1,the,آن - (حرف تعریف),the , دِ
2,be,"بودن - (فعل، حالت پایه)",be , بی
3,to,به - (حرف اضافه),to , تو
4,and,و - (حرف ربط),and , اَند
5,a,یک - (حرف تعریف نکره),a , ا
6,of,از - (حرف اضافه),of , آو
7,i,"من - (ضمیر، اول شخص مفرد)",i , آی
8,in,در - (حرف اضافه),in , این
9,that,که - (حرف ربط),that , دَت
10,you,"شما - (ضمیر، دوم شخص مفرد و جمع)",you , یو
11,have,"داشتن - (فعل، حال ساده)",have , هَو
12,it,"آن - (ضمیر، سوم شخص مفرد)",it , ایت
13,do,"انجام دادن - (فعل، حال ساده)",do , دو
14,for,برای - (حرف اضافه),for , فُر
15,on,روی - (حرف اضافه),on , آن
16,with,با - (حرف اضافه),with , ویت
17,he,"او (مذکر) - (ضمیر، سوم شخص مفرد مذکر)",he , هی
18,this,این - (ضمیر اشاره),this , دیس
19,as,به عنوان - (حرف اضافه/حرف ربط),as , اَز
20,we,"ما - (ضمیر، اول شخص جمع)",we , وی
21,but,اما - (حرف ربط),but , بَت
22,not,نه - (قید),not , نات
23,they,"آنها - (ضمیر، سوم شخص جمع)",they , ذِی
24,what,چه - (ضمیر سوالی),what , وات
25,at,در - (حرف اضافه),at , اَت
26,my,"من (ملکی) - (ضمیر ملکی، اول شخص مفرد)",my , مای
27,his,"او (مذکر) (ملکی) - (ضمیر ملکی، سوم شخص مفرد مذکر)",his , هیز
28,get,"گرفتن - (فعل، حال ساده)",get , گِت
29,go,"رفتن - (فعل، حال ساده)",go , گو
30,from,از - (حرف اضافه),from , فِرُم
31,will,"خواهد - (فعل کمکی، آینده)",will , ویل
32,say,"گفتن - (فعل، حال ساده)",say , سِی
33,can,توانستن - (فعل کمکی),can , کَن
34,by,توسط - (حرف اضافه),by , بای
35,or,یا - (حرف ربط),or , اُر
36,all,همه - (ضمیر),all , آل
37,me,"من (مفعولی) - (ضمیر مفعولی، اول شخص مفرد)",me , می
38,she,"او (مؤنث) - (ضمیر، سوم شخص مفرد مؤنث)",she , شی
39,so,بنابراین - (قید/حرف ربط),so , سو
40,there,آنجا - (قید مکان),there , ذِر
41,about,درباره - (حرف اضافه),about , اَبائوت
42,your,"شما (ملکی) - (ضمیر ملکی، دوم شخص مفرد و جمع)",your , یُر
43,one,یک - (عدد),one , وان
44,if,اگر - (حرف شرط),if , ایف
45,her,"او (مؤنث) (ملکی) - (ضمیر ملکی، سوم شخص مفرد مؤنث)",her , هِر
46,out,بیرون - (قید/حرف اضافه),out , آوت
47,just,فقط - (قید),just , جاست
48,when,وقتی که - (حرف ربط),when , وِن
49,like,"دوست داشتن - (فعل، حال ساده)",like , لایک
50,up,بالا - (قید/حرف اضافه),up , آپ
51,who,چه کسی - (ضمیر سوالی),who , هو
52,make,"ساختن - (فعل، حال ساده)",make , مِیک
53,would,"می‌خواهد - (فعل کمکی، گذشته)",would , وود
54,no,نه - (قید),no , نو
55,their,"آنها (ملکی) - (ضمیر ملکی، سوم شخص جمع)",their , ذِر
56,time,"زمان - (اسم، مفرد)",time , تایم
57,see,"دیدن - (فعل، حال ساده)",see , سی
58,more,بیشتر - (قید/صفت تفضیلی),more , مور
59,know,"دانستن - (فعل، حال ساده)",know , نو
60,come,"آمدن - (فعل، حال ساده)",come , کام
61,think,"فکر کردن - (فعل، حال ساده)",think , ثینک
62,take,"گرفتن - (فعل، حال ساده)",take , تِیک
63,him,"او (مذکر) (مفعولی) - (ضمیر مفعولی، سوم شخص مفرد مذکر)",him , هیم
64,how,چگونه - (قید سوالی),how , هَو
65,them,"آنها (مفعولی) - (ضمیر مفعولی، سوم شخص جمع)",them , ذِم
66,want,"خواستن - (فعل، حال ساده)",want , وانت
67,other,دیگر - (صفت),other , آذِر
68,could,"می‌توانست - (فعل کمکی، گذشته)",could , کُد
69,now,حالا - (قید زمان),now , نَو
70,year,"سال - (اسم، مفرد)",year , یِر
71,look,"نگاه کردن - (فعل، حال ساده)",look , لوک
72,right,راست / درست - (صفت/اسم/قید),right , رایت
73,into,به داخل - (حرف اضافه),into , اینتو
74,people,"مردم - (اسم، جمع)",people , پیپل
75,our,"ما (ملکی) - (ضمیر ملکی، اول شخص جمع)",our , آور
76,which,کدام - (ضمیر سوالی/حرف ربط),which , وِچ
77,then,سپس - (قید زمان),then , ذِن
78,here,اینجا - (قید مکان),here , هیر
79,back,پشت - (اسم/قید),back , بَک
80,work,"کار - (اسم/فعل، حال ساده)",work , وُرک
81,than,نسبت به - (حرف اضافه/حرف ربط),than , ذَن
82,some,بعضی - (صفت/ضمیر),some , سام
83,way,"راه - (اسم، مفرد)",way , وِی
84,only,فقط - (قید/صفت),only , اُونلی
85,tell,"گفتن - (فعل، حال ساده)",tell , تِل
86,because,زیرا - (حرف ربط),because , بیکاز
87,good,خوب - (صفت),good , گود
88,over,بر روی - (حرف اضافه),over , اُور
89,thing,"چیز - (اسم، مفرد)",thing , ثینگ
90,use,"استفاده کردن - (فعل، حال ساده)",use , یوز
91,need,"نیاز داشتن - (فعل، حال ساده)",need , نید
92,two,دو - (عدد),two , تو
93,day,"روز - (اسم، مفرد)",day , دِی
94,even,حتی - (قید),even , ایوِن
95,these,"اینها - (ضمیر اشاره، جمع)",these , ذیز
96,where,کجا - (قید سوالی/حرف ربط),where , وِر
97,give,"دادن - (فعل، حال ساده)",give , گیو
98,man,"مرد - (اسم، مفرد)",man , مَن
99,find,"پیدا کردن - (فعل، حال ساده)",find , فایند
100,after,بعد از - (حرف اضافه/قید),after , اَفتِر
101,well,خوب - (قید/صفت),well , وِل
102,us,"ما - (ضمیر مفعولی، اول شخص جمع)",us , آس
103,also,همچنین - (قید),also , آلصو
104,much,زیاد - (قید/صفت),much , ماچ
105,new,جدید - (صفت),new , نیو
106,life,"زندگی - (اسم، مفرد)",life , لایف
107,any,هر - (صفت),any , اَنی
108,first,اول - (صفت/اسم),first , فِرست
109,should,باید - (فعل کمکی),should , شُد
110,call,"تماس گرفتن - (فعل، حال ساده)",call , کال
111,down,پایین - (قید/حرف اضافه),down , داون
112,most,بیشتر - (قید/صفت تفضیلی),most , موست
113,those,"آن‌ها - (ضمیر اشاره، جمع)",those , ذُز
114,very,خیلی - (قید),very , وِری
115,too,همچنین/بیش از حد - (قید),too , تو
116,why,چرا - (قید سوالی),why , وای
117,feel,"احساس کردن - (فعل، حال ساده)",feel , فیل
118,really,واقعا - (قید),really , ریلی
119,through,از طریق - (حرف اضافه),through , ثرو
120,try,"تلاش کردن - (فعل، حال ساده)",try , ترای
121,never,هرگز - (قید),never , نِوِر
122,before,قبل از - (حرف اضافه/قید),before , بیفور
123,something,چیزی - (ضمیر),something , سامثینگ
124,many,بسیاری - (صفت),many , مِنی
125,let,"اجازه دادن - (فعل، حال ساده)",let , لِت
126,help,"کمک کردن - (فعل، حال ساده)",help , هِلپ
127,little,کم/کمی - (صفت/قید),little , لیتل
128,off,خاموش/بیرون - (حرف اضافه/قید),off , آف
129,long,طولانی - (صفت),long , لانگ
130,may,ممکن است - (فعل کمکی),may , مِی
131,child,"کودک - (اسم، مفرد)",child , چایلد
132,mean,"معنی دادن - (فعل، حال ساده)",mean , مین
133,woman,"زن - (اسم، مفرد)",woman , وُمن
134,still,هنوز - (قید),still , استیل
135,love,"دوست داشتن/عشق - (فعل، حال ساده/اسم)",love , لاو
136,ask,"پرسیدن - (فعل، حال ساده)",ask , اَسک
137,great,عالی - (صفت),great , گریت
138,show,"نشان دادن - (فعل، حال ساده)",show , شو
139,leave,"ترک کردن - (فعل، حال ساده)",leave , لیو
140,around,اطراف - (قید/حرف اضافه),around , اَرَوند
141,world,"جهان - (اسم، مفرد)",world , وُرلد
142,talk,"صحبت کردن - (فعل، حال ساده)",talk , تالک
143,start,"شروع کردن - (فعل، حال ساده)",start , استارت
144,last,آخرین - (صفت),last , لَست
145,school,"مدرسه - (اسم، مفرد)",school , اسکول
146,keep,"نگه داشتن - (فعل، حال ساده)",keep , کیپ
147,own,خود - (صفت ملکی),own , اُون
148,put,"قرار دادن - (فعل، حال ساده)",put , پوت
149,home,"خانه - (اسم، مفرد)",home , هوم
150,while,در حالی که - (حرف ربط),while , وایل
151,place,"مکان - (اسم، مفرد)",place , پِلیس
152,oh,آه - (حرف ندا),oh , اُ
153,another,یک دیگر - (صفت),another , اَنادِر
154,big,بزرگ - (صفت),big , بیگ
155,turn,"چرخیدن - (فعل، حال ساده)",turn , تِرن
156,same,همان - (صفت),same , سِیم
157,such,چنین - (صفت/قید),such , ساچ
158,three,سه - (عدد),three , ثری
159,family,"خانواده - (اسم، مفرد)",family , فَمیلی
160,again,دوباره - (قید),again , اَگین
161,change,"تغییر دادن - (فعل، حال ساده)",change , چِینج
162,play,"بازی کردن - (فعل، حال ساده)",play , پِلِی
163,both,هر دو - (ضمیر),both , بوث
164,each,هر - (ضمیر/صفت),each , ایچ
165,always,همیشه - (قید),always , آلویز
166,high,بلند - (صفت),high , های
167,old,قدیمی - (صفت),old , اُلد
168,every,هر - (صفت),every , اِوری
169,point,"نقطه - (اسم، مفرد)",point , پُینت
170,hear,"شنیدن - (فعل، حال ساده)",hear , هیر
171,run,"دویدن - (فعل، حال ساده)",run , ران
172,state,"ایالت/وضعیت - (اسم، مفرد)",state , استِیت
173,away,دور - (قید),away , اَوِی
174,happen,"اتفاق افتادن - (فعل، حال ساده)",happen , هَپِن
175,might,ممکن است - (فعل کمکی),might , مایت
176,better,بهتر - (صفت/قید تفضیلی),better , بِتِر
177,house,"خانه - (اسم، مفرد)",house , هاوس
178,move,"حرکت کردن - (فعل، حال ساده)",move , موو
179,become,"شدن - (فعل، حال ساده)",become , بیکام
180,seem,"به نظر رسیدن - (فعل، حال ساده)",seem , سیم
181,hand,"دست - (اسم، مفرد)",hand , هَند
182,between,بین - (حرف اضافه),between , بِتوین
183,end,"پایان - (اسم، مفرد)",end , اِند
184,yeah,بله - (حرف ندا),yeah , یِه
185,friend,"دوست - (اسم، مفرد)",friend , فِرِند
186,live,"زندگی کردن - (فعل، حال ساده)",live , لایو
187,name,"نام - (اسم، مفرد)",name , نِیم
188,few,چند - (صفت/ضمیر),few , فیو
189,sure,مطمئن - (صفت),sure , شُر
190,believe,"باور کردن - (فعل، حال ساده)",believe , بیلیو
191,night,"شب - (اسم، مفرد)",night , نایت
192,since,از زمانی که - (حرف ربط/حرف اضافه),since , سینس
193,problem,"مشکل - (اسم، مفرد)",problem , پِرابلِم
194,best,بهترین - (صفت عالی),best , بِست
195,part,"بخش - (اسم، مفرد)",part , پارت
196,yes,بله - (حرف ندا),yes , یِس
197,guy,"مرد - (اسم، مفرد)",guy , گای
198,bad,بد - (صفت),bad , بَد
199,far,دور - (قید/صفت),far , فار
200,hold,"نگه داشتن - (فعل، حال ساده)",hold , هولد
201,stop,"متوقف کردن - (فعل، حال ساده)",stop , اِستاپ
202,next,بعدی - (صفت),next , نِکست
203,bring,"آوردن - (فعل، حال ساده)",bring , بِرینگ
204,week,"هفته - (اسم، مفرد)",week , ویک
205,ever,هرگز - (قید),ever , اِوِر
206,head,"سر - (اسم، مفرد)",head , هِد
207,without,بدون - (حرف اضافه),without , ویداوت
208,lot,مقدار زیاد - (اسم),lot , لات
209,question,"سوال - (اسم، مفرد)",question , کوئستشن
210,write,"نوشتن - (فعل، حال ساده)",write , رایت
211,book,"کتاب - (اسم، مفرد)",book , بوک
212,open,"باز کردن - (فعل، حال ساده)",open , اوپِن
213,enough,کافی - (صفت/قید),enough , ایناف
214,anything,هر چیزی - (ضمیر),anything , اِنیثینگ
215,american,آمریکایی - (صفت/اسم),american , اَمِریکَن
216,face,"صورت - (اسم، مفرد)",face , فیس
217,nothing,هیچ چیز - (ضمیر),nothing , ناثینگ
218,must,باید - (فعل کمکی),must , ماست
219,story,"داستان - (اسم، مفرد)",story , اِستوری
220,job,"شغل - (اسم، مفرد)",job , جاب
221,against,علیه - (حرف اضافه),against , اَگینست
222,kid,"بچه - (اسم، مفرد)",kid , کید
223,begin,"شروع کردن - (فعل، حال ساده)",begin , بِگین
224,until,تا زمانی که - (حرف ربط),until , آنتیل
225,kind,نوع/مهربان - (اسم/صفت),kind , کایند
226,word,"کلمه - (اسم، مفرد)",word , وُرد
227,money,"پول - (اسم، مفرد)",money , مانی
228,once,یکبار - (قید),once , وانس
229,wait,"صبر کردن - (فعل، حال ساده)",wait , وِیت
230,maybe,شاید - (قید),maybe , میبی
231,case,"مورد - (اسم، مفرد)",case , کیس
232,under,زیر - (حرف اضافه),under , آندِر
233,though,اگرچه - (حرف ربط),though , دُ
234,number,"شماره - (اسم، مفرد)",number , نامبِر
235,set,"مجموعه - (اسم/فعل، حال ساده)",set , سِت
236,study,"مطالعه کردن - (فعل، حال ساده)",study , استادی
237,different,متفاوت - (صفت),different , دیفرِنت
238,care,"مراقبت کردن - (فعل، حال ساده)",care , کِر
239,close,"بستن/نزدیک - (فعل، حال ساده/صفت)",close , کِلُز
240,small,کوچک - (صفت),small , اِسمال
241,hard,سخت - (صفت),hard , هارد
242,second,دوم - (صفت/اسم),second , سِکِند
243,idea,"ایده - (اسم، مفرد)",idea , آی‌دیا
244,room,"اتاق - (اسم، مفرد)",room , رُم
245,read,"خواندن - (فعل، حال ساده)",read , رید
246,girl,"دختر - (اسم، مفرد)",girl , گِرل
247,group,"گروه - (اسم، مفرد)",group , گروپ
248,lose,"از دست دادن - (فعل، حال ساده)",lose , لوز
249,country,"کشور - (اسم، مفرد)",country , کانتری
250,month,"ماه - (اسم، مفرد)",month , مانث
251,during,در طول - (حرف اضافه),during , دورینگ
252,game,"بازی - (اسم، مفرد)",game , گِیم
253,understand,"فهمیدن - (فعل، حال ساده)",understand , آندِرستَند
254,watch,"تماشا کردن - (فعل، حال ساده)",watch , واچ
255,mother,"مادر - (اسم، مفرد)",mother , مادِر
256,city,"شهر - (اسم، مفرد)",city , سیتی
257,course,"دوره - (اسم، مفرد)",course , کورس
258,today,امروز - (قید/اسم),today , تُدی
259,student,"دانش‌آموز/دانشجو - (اسم، مفرد)",student , استودِنت
260,everything,همه چیز - (ضمیر),everything , اِوریثینگ
261,early,زود - (قید/صفت),early , اِرلی
262,someone,کسی - (ضمیر),someone , سام‌وان
263,water,"آب - (اسم، مفرد)",water , واتِر
264,system,"سیستم - (اسم، مفرد)",system , سیستِم
265,young,جوان - (صفت),young , یانگ
266,plan,"برنامه‌ریزی کردن - (فعل، حال ساده)",plan , پِلَن
267,stand,"ایستادن - (فعل، حال ساده)",stand , استَند
268,yet,هنوز - (قید),yet , یِت
269,meet,"ملاقات کردن - (فعل، حال ساده)",meet , میت
270,real,واقعی - (صفت),real , ریِل
271,program,"برنامه - (اسم، مفرد)",program , پروگرَم
272,pay,"پرداخت کردن - (فعل، حال ساده)",pay , پی
273,side,"سمت - (اسم، مفرد)",side , ساید
274,hour,"ساعت - (اسم، مفرد)",hour , آور
275,boy,"پسر - (اسم، مفرد)",boy , بوی
276,learn,"یاد گرفتن - (فعل، حال ساده)",learn , لِرن
277,hope,"امید داشتن - (فعل، حال ساده)",hope , هوپ
278,okay,خوب - (صفت/قید),okay , اُکی
279,remember,"به خاطر آوردن - (فعل، حال ساده)",remember , ریمِمبِر
280,together,با هم - (قید),together , توگِذِر
281,company,"شرکت - (اسم، مفرد)",company , کامپَنی
282,business,"کسب‌وکار - (اسم، مفرد)",business , بیزنِس
283,minute,"دقیقه - (اسم، مفرد)",minute , مینِت
284,fact,"حقیقت - (اسم، مفرد)",fact , فَکت
285,large,بزرگ - (صفت),large , لارژ
286,its,"آن (ملکی) - (ضمیر ملکی، سوم شخص مفرد)",its , اِتس
287,line,"خط - (اسم، مفرد)",line , لاین
288,car,"ماشین - (اسم، مفرد)",car , کار
289,father,"پدر - (اسم، مفرد)",father , فادِر
290,sit,"نشستن - (فعل، حال ساده)",sit , سیت
291,walk,"راه رفتن - (فعل، حال ساده)",walk , واک
292,report,"گزارش - (اسم، مفرد)",report , رِپورت
293,already,قبلاً - (قید),already , آلرِدی
294,stay,"ماندن - (فعل، حال ساده)",stay , اِستِی
295,fall,"افتادن - (فعل، حال ساده)",fall , فال
296,thank,"تشکر کردن - (فعل، حال ساده)",thank , تَنک
297,least,حداقل - (صفت/قید),least , لیست
298,person,"شخص - (اسم، مفرد)",person , پِرسِن
299,less,کمتر - (قید/صفت تفضیلی),less , لِس
300,lead,"رهبری کردن - (فعل، حال ساده)",lead , لید
301,actually,در واقع - (قید),actually , اَکتُلی
302,four,چهار - (عدد),four , فور
303,mind,"ذهن - (اسم، مفرد)",mind , مایند
304,cause,"علت - (اسم، مفرد)",cause , کاز
305,black,سیاه - (صفت),black , بِلَک
306,kill,"کشتن - (فعل، حال ساده)",kill , کِل
307,issue,"مسئله - (اسم، مفرد)",issue , ایشو
308,eye,"چشم - (اسم، مفرد)",eye , آی
309,power,"قدرت - (اسم، مفرد)",power , پاور
310,body,"بدن - (اسم، مفرد)",body , بادی
311,support,"حمایت کردن - (فعل، حال ساده)",support , ساپُرت
312,team,"تیم - (اسم، مفرد)",team , تیم
313,experience,"تجربه - (اسم، مفرد)",experience , اِکسپیریِنس
314,important,مهم - (صفت),important , ایمپُرتَنت
315,service,"خدمت - (اسم، مفرد)",service , سِرویس
316,speak,"صحبت کردن - (فعل، حال ساده)",speak , اسپیک
317,government,"دولت - (اسم، مفرد)",government , گاوِرمنت
318,late,دیر - (صفت/قید),late , لیت
319,area,"منطقه - (اسم، مفرد)",area , اریا
320,sound,"صدا - (اسم، مفرد)",sound , ساوند
321,public,عمومی - (صفت),public , پابلیک
322,light,"نور - (اسم، مفرد)",light , لایت
323,ago,پیش - (قید),ago , اَگو
324,almost,تقریباً - (قید),almost , آل‌مُست
325,parent,"والدین - (اسم، مفرد)",parent , پَرِنت
326,die,"مردن - (فعل، حال ساده)",die , دای
327,provide,"فراهم کردن - (فعل، حال ساده)",provide , پروواید
328,later,بعداً - (قید),later , لیتر
329,often,اغلب - (قید),often , آفن
330,please,لطفاً - (قید),please , پِلِیز
331,else,چیز دیگری - (قید),else , اِلز
332,follow,"دنبال کردن - (فعل، حال ساده)",follow , فالو
333,spend,"صرف کردن - (فعل، حال ساده)",spend , اسپند
334,create,"ایجاد کردن - (فعل، حال ساده)",create , کِری‌اِیت
335,past,گذشته - (اسم/صفت),past , پَست
336,war,"جنگ - (اسم، مفرد)",war , وار
337,human,انسان - (اسم/صفت),human , هیومن
338,level,"سطح - (اسم، مفرد)",level , لِوِل
339,hey,هی - (حرف ندا),hey , هِی
340,whole,کل - (صفت),whole , هُول
341,send,"فرستادن - (فعل، حال ساده)",send , سِند
342,control,"کنترل کردن - (فعل، حال ساده)",control , کُنتُرول
343,able,قادر - (صفت),able , ایبِل
344,white,سفید - (صفت),white , وایت
345,food,"غذا - (اسم، مفرد)",food , فود
346,everyone,همه - (ضمیر),everyone , اِوریوان
347,information,"اطلاعات - (اسم، مفرد)",information , اینفُرمِیشِن
348,probably,احتمالاً - (قید),probably , پِرابَبلی
349,break,"شکستن - (فعل، حال ساده)",break , بِرِیک
350,top,بالا - (اسم/صفت),top , تاپ
351,however,با این حال - (قید/حرف ربط),however , هاوِوِر
352,offer,"پیشنهاد دادن - (فعل، حال ساده)",offer , آفر
353,allow,"اجازه دادن - (فعل، حال ساده)",allow , اَلاؤ
354,force,"نیرو - (اسم، مفرد)",force , فُرس
355,five,پنج - (عدد),five , فایو
356,grow,"رشد کردن - (فعل، حال ساده)",grow , گرو
357,matter,"موضوع - (اسم، مفرد)",matter , مَتِر
358,party,"مهمانی/حزب - (اسم، مفرد)",party , پارتی
359,along,در طول - (حرف اضافه),along , اَلُنگ
360,result,"نتیجه - (اسم، مفرد)",result , ریزالت
361,free,آزاد - (صفت),free , فری
362,continue,"ادامه دادن - (فعل، حال ساده)",continue , کانتینیو
363,include,"شامل شدن - (فعل، حال ساده)",include , اینکلود
364,reason,"دلیل - (اسم، مفرد)",reason , ریزن
365,behind,پشت - (حرف اضافه),behind , بِهَیند
366,president,"رئیس‌جمهور - (اسم، مفرد)",president , پِرِزیدِنت
367,add,"اضافه کردن - (فعل، حال ساده)",add , اَد
368,baby,"نوزاد - (اسم، مفرد)",baby , بِیبی
369,deal,"معامله کردن - (فعل، حال ساده)",deal , دیل
370,buy,"خریدن - (فعل، حال ساده)",buy , بای
371,answer,"پاسخ - (اسم، مفرد)",answer , اَنسِر
372,heart,"قلب - (اسم، مفرد)",heart , هارت
373,law,"قانون - (اسم، مفرد)",law , لا
374,step,"قدم - (اسم، مفرد)",step , سِتپ
375,wrong,اشتباه - (صفت),wrong , رانگ
376,easy,آسان - (صفت),easy , ایزی
377,drive,"رانندگی کردن - (فعل، حال ساده)",drive , درایو
378,cut,"بریدن - (فعل، حال ساده)",cut , کات
379,eat,"خوردن - (فعل، حال ساده)",eat , ایت
380,moment,"لحظه - (اسم، مفرد)",moment , مُمِنت
381,win,"بردن - (فعل، حال ساده)",win , وین
382,percent,درصد - (اسم),percent , پِرسِنت
383,across,در سراسر - (حرف اضافه),across , اَکراس
384,base,"پایه - (اسم، مفرد)",base , بِیس
385,morning,"صبح - (اسم، مفرد)",morning , مورنینگ
386,member,"عضو - (اسم، مفرد)",member , مِمبِر
387,son,"پسر - (اسم، مفرد)",son , سان
388,low,کم - (صفت),low , لو
389,community,"جامعه - (اسم، مفرد)",community , کُمینیوتی
390,research,"تحقیق - (اسم، مفرد)",research , ری‌سرچ
391,door,"در - (اسم، مفرد)",door , دور
392,age,"سن - (اسم، مفرد)",age , ایج
393,TRUE,درست - (صفت),TRUE , ترو
394,figure,"شکل - (اسم، مفرد)",figure , فیگِر
395,miss,"از دست دادن - (فعل، حال ساده)",miss , میس
396,share,"به اشتراک گذاشتن - (فعل، حال ساده)",share , شِیر
397,hit,"ضربه زدن - (فعل، حال ساده)",hit , هیت
398,test,"آزمون - (اسم، مفرد)",test , تِست
399,pass,"گذراندن - (فعل، حال ساده)",pass , پاس
400,form,"فرم - (اسم، مفرد)",form , فُرم
401,sorry,متاسف - (صفت),sorry , ساری
402,office,"دفتر - (اسم، مفرد)",office , آفیس
403,pretty,زیبا - (صفت),pretty , پریتی
404,within,درون - (حرف اضافه),within , ویتین
405,center,"مرکز - (اسم، مفرد)",center , سِنتِر
406,myself,"خودم - (ضمیر انعکاسی، اول شخص مفرد)",myself , مای‌سِلف
407,street,"خیابان - (اسم، مفرد)",street , استریت
408,several,چندین - (صفت),several , سِورال
409,death,"مرگ - (اسم، مفرد)",death , دِث
410,whether,آیا - (حرف ربط),whether , وِذِر
411,act,"عمل - (اسم/فعل، حال ساده)",act , اَکت
412,foot,"پا - (اسم، مفرد)",foot , فُت
413,fight,"مبارزه کردن - (فعل، حال ساده)",fight , فایت
414,college,"کالج - (اسم، مفرد)",college , کالِج
415,sometimes,گاهی اوقات - (قید),sometimes , سام‌تایمز
416,sense,"حس - (اسم، مفرد)",sense , سِنس
417,table,"میز - (اسم، مفرد)",table , تیبل
418,health,"سلامتی - (اسم، مفرد)",health , هِلت
419,check,"بررسی کردن - (فعل، حال ساده)",check , چِک
420,clear,واضح - (صفت),clear , کلیِر
421,either,یا - (حرف ربط),either , ایذِر
422,university,"دانشگاه - (اسم، مفرد)",university , یونیورسی‌تی
423,fire,"آتش - (اسم، مفرد)",fire , فایر
424,full,پر - (صفت),full , فول
425,social,اجتماعی - (صفت),social , سوشال
426,front,جلو - (اسم),front , فِرُنت
427,class,"کلاس - (اسم، مفرد)",class , کِلَس
428,half,نیمه - (اسم),half , هَلف
429,expect,"انتظار داشتن - (فعل، حال ساده)",expect , اِکسپِکت
430,national,ملی - (صفت),national , نَشِنال
431,soon,به زودی - (قید),soon , سون
432,history,"تاریخ - (اسم، مفرد)",history , هیستوری
433,process,"فرآیند - (اسم، مفرد)",process , پِرُسِس
434,among,در میان - (حرف اضافه),among , اَمونگ
435,consider,"در نظر گرفتن - (فعل، حال ساده)",consider , کِنسیدِر
436,bit,"ذره - (اسم، مفرد)",bit , بِت
437,anyone,هر کسی - (ضمیر),anyone , اَنی‌وان
438,cover,"پوشاندن - (فعل، حال ساده)",cover , کاوِر
439,build,"ساختن - (فعل، حال ساده)",build , بیلد
440,decide,"تصمیم گرفتن - (فعل، حال ساده)",decide , دیساید
441,reach,"رسیدن - (فعل، حال ساده)",reach , ریچ
442,thanks,تشکر - (اسم),thanks , تَنکس
443,himself,"خودش (مذکر) - (ضمیر انعکاسی، سوم شخص مفرد مذکر)",himself , هیم‌سِلف
444,sign,علامت - (اسم),sign , ساین
445,pick,"برداشتن - (فعل، حال ساده)",pick , پیک
446,rather,ترجیحاً - (قید),rather , رَذِر
447,appear,"ظاهر شدن - (فعل، حال ساده)",appear , اَپیر
448,post,پست - (اسم),post , پُست
449,pull,"کشیدن - (فعل، حال ساده)",pull , پول
450,inside,داخل - (حرف اضافه/قید),inside , اینساید
451,fine,خوب - (صفت),fine , فاین
452,order,"سفارش - (اسم، مفرد)",order , اُردِر
453,note,"یادداشت - (اسم، مفرد)",note , نوت
454,instead,به جای - (قید),instead , اینستد
455,outside,بیرون - (قید/حرف اضافه),outside , آوتساید
456,air,"هوا - (اسم، مفرد)",air , اِیر
457,view,"دید - (اسم، مفرد)",view , ویو
458,music,"موسیقی - (اسم، مفرد)",music , میوزیک
459,record,"ضبط کردن - (فعل، حال ساده)",record , ریکورد
460,nice,خوب/خوشایند - (صفت),nice , نایس
461,phone,"تلفن - (اسم، مفرد)",phone , فون
462,possible,ممکن - (صفت),possible , پاسیبِل
463,future,"آینده - (اسم، مفرد)",future , فیوچر
464,wife,"زن (همسر) - (اسم، مفرد)",wife , وایف
465,rest,"استراحت - (اسم، مفرد)",rest , رِست
466,finally,در نهایت - (قید),finally , فاینَلی
467,happy,خوشحال - (صفت),happy , هپی
468,including,شامل - (حرف اضافه),including , اینکلودینگ
469,mom,"مادر - (اسم، مفرد)",mom , مام
470,explain,"توضیح دادن - (فعل، حال ساده)",explain , اکسپلین
471,news,"خبر - (اسم، مفرد)",news , نیوز
472,cost,"هزینه - (اسم، مفرد)",cost , کُست
473,million,میلیون - (عدد),million , میلین
474,wear,"پوشیدن - (فعل، حال ساده)",wear , وِر
475,strong,قوی - (صفت),strong , اِسترُنگ
476,general,عمومی - (صفت),general , جِنِرال
477,serve,"خدمت کردن - (فعل، حال ساده)",serve , سِرو
478,present,حاضر - (صفت),present , پِرِزِنت
479,brother,"برادر - (اسم، مفرد)",brother , بَرادِر
480,voice,"صدا - (اسم، مفرد)",voice , وُیس
481,dead,مرده - (صفت),dead , دِد
482,listen,"گوش دادن - (فعل، حال ساده)",listen , لیسن
483,couple,"زوج - (اسم، مفرد)",couple , کپل
484,although,اگرچه - (حرف ربط),although , آلثو
485,teacher,"معلم - (اسم، مفرد)",teacher , تیچر
486,perhaps,شاید - (قید),perhaps , پِرْهَپس
487,picture,"تصویر - (اسم، مفرد)",picture , پیکچر
488,six,شش - (عدد),six , سیکس
489,yourself,"خودت - (ضمیر انعکاسی، دوم شخص مفرد)",yourself , یُرْسِلف
490,guess,"حدس زدن - (فعل، حال ساده)",guess , گِس
491,catch,"گرفتن - (فعل، حال ساده)",catch , کچ
492,focus,"تمرکز کردن - (فعل، حال ساده)",focus , فکِس
493,practice,"تمرین کردن - (فعل، حال ساده)",practice , پرَکتِس
494,local,محلی - (صفت),local , لوکَل
495,design,"طراحی - (اسم، مفرد)",design , دیزاین
496,arm,"بازو - (اسم، مفرد)",arm , آرم
497,chance,"شانس - (اسم، مفرد)",chance , چَنس
498,market,"بازار - (اسم، مفرد)",market , مارکت
499,effect,"اثر - (اسم، مفرد)",effect , اِفکت
500,alone,تنها - (صفت/قید),alone , اَلُن
